Código Incidencia;Fecha Apertura;Descripción problema;Impacto Remedy;Sistema;JIRA;DELIV;Descripción Proyecto;Acciones;Status;Fecha Prevista;Motivo Resolución;Peticionario;Computar;Despliegue;Segmento;Tipo solucion
INC000004003795;27-abr;[2026R4] CRM // TLP MEDELLIN // FUNCIONAL;4-Baja;CEP CAU AGI;#N/D;;;No se puede activar los bonos ilimitados mientras se realiza la logistica del equipo, se utiliza como opción para que el cliente no se quede sin internet.;Cerrada;27-abr;Resuelto sin Intervencion;ATC_MADRID_MASIVO;SI;MESA;ORANGE;Resuelto sin Intervencion
INC000004002887;26-abr;[2026R4] [PRJ-10365 MODIFICACIÓN EMAIL] - FICHA - No permite guardar email notiene@orange.com;3-Medio;Tecnologia;"INTEPS-29828 [ To Do /  ] 
FDCOSP-2100 [ Cancelled / Won't Do ] 
FRONTRE-45803 [ Cancelled / Won't Do ] 
MICRO-73707 [ Cancelled / Won't Do ] 
";;PRJ-10365 Solución a incidencia para modificar direcciones de correo electrónico ;"28/04: Se aportan nuevas evidencias del error.
27/04: Resolución: Relacionada con INC000004002776
Se puede aplicar WA hasta resolucion.";Cerrada;28-abr;RL-Error Datos Configuracion/Parametros;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Error Datos Configuracion/Parametros
INC000004003230;26-abr;[2026R4] - TEIDE - PRJ-10365 NO ENVIA VPT NI LLEGA A HERMES;3-Medio;TEIDE_OSP_Soporte_Tecnico;#N/D;;PRJ-10365 Solución a incidencia para modificar direcciones de correo electrónico ;"Resolución: Error ""formato Email no valido"". No acepta el formato de email ""mtp-123@prueba.es""";Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004003755;27-abr;[2026R4] - PRJ-10523 - Error al visualizar Trafico priorizado en gestón de línea - Contratado;3-Medio;DES_SOE_PAE;"PAEOSP-31161 [ Done / Done ] 
";;PRJ-10523 Óptima Plus Empresas SVA 5G SA Slicing;pdte correctivo;Cerrada;29-abr;RL-Error de Código;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;RL-Error de Código
INC000004002778;26-abr;[2026R4] - PRJ-11085 - CONTRATACIÓN MULTIDISPOSITIVO VAP SOBRE LINEA FIJA JAZZTEL;3-Medio;SOP_BSS_JAZZTEL;#N/D;;PRJ-11085 CONTRATACIÓN MULTIDISPOSITIVO VAP SOBRE LINEA FIJA JAZZTEL;correctivo aplicado;Cerrada;27-abr;RL-Error de Código;PROC_CAD;SI;PAP;JAZZTEL;RL-Error de Código
INC000004005026;28-abr;[2026R4] - [PRJ-10365] - No permite modificar datos personales en postventa - PANGEA;3-Medio;DES_SOE_PANGEA;"FRONTRE-45814 [ Cancelled / Won't Do ] 
PANOSP-2171 [ Cancelled / Won't Do ] 
";;PRJ-10365 Solución a incidencia para modificar direcciones de correo electrónico ;Resolución: primero hay que pasar el KYC, en la captura se ve perfectamente que está el botón de Documentación habilitado, una vez que se pasa el KYC, se habilitan los lapiceros para modificar los datos y posteriormente pasar la firma digital;Cerrada;29-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;Cancelado No Aplica
INC000004005871;28-abr;[2026R4] - PRJ-10636 Mi DNI - Jazztel - Error de QR permite continuar con el flujo;3-Medio;DES_SOE_PANGEA;"FRONTMC-37445 [ Cancelled / Won't Do ] 
PANOSP-2174 [ Cancelled / Won't Do ] 
PANOSP-2176 [ Cancelled / Won't Do ] 
FRONTMC-37447 [ Cancelled / Won't Do ] 
";;PRJ-10636 Mi DNI - Proyecto de Adecuación del Tratamiento del DNI;;Cerrada;28-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;Cancelado No Aplica
INC000004002779;26-abr;[2026R4] - PANGEA - PRJ-10636 Mi DNI - Valida correctamente pero luego no pasa scoring;3-Medio;TyD_PRUEBAS_PROD;"INTEPS-29821 [ To Do /  ] 
PANOSP-2169 [ Cancelled / Won't Do ] 
PANOSP-2164 [ Cancelled / Won't Do ] 
INTEPS-29819 [ Cancelled / Won't Do ] 
PANOSP-2155 [ Cancelled / Won't Do ] 
FRONTMC-37427 [ Cancelled / Won't Do ] 
FRONTMC-37424 [ Cancelled / Won't Do ] 
INTEPS-29816 [ Cancelled / Won't Do ] 
";;PRJ-10636 Mi DNI - Proyecto de Adecuación del Tratamiento del DNI;bloqueada la cuenta bancaria del recurso de prueba;Cerrada;26-abr;Disponen de herramientas para solución;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Disponen de herramientas para solución
INC000004003752;27-abr;[2026R4] - PRJ-10966 - CRMB2B - Error escalado a EPSILON;3-Medio;SOP_CRMB2B;"CRMBOP-2532 [ Done / Done ] 
";;PRJ-10966 Escalado Tipificaciones SAC Pyme;Pdt GGCC -> CRQ000000181371;Cerrada;29-abr;RL-Error de Código;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;RL-Error de Código
INC000004002790;26-abr;[2026R4] - [PRJ-11065] Fase 3 Decomision OTs - Error al Crear Orden de Servicio en Ficha MM;3-Medio;DES_CRM4T;"FICHACM-774 [ Cancelled / Won't Do ] 
FRONTMC-37426 [ Cancelled / Won't Do ] 
INTEPS-29813 [ Done / Done ] 
";;PRJ-11065 Fase 3. Decomision OTs - Órdenes de posventa;"27/04: Rechazada solución: Probamos de nuevo con mismo recurso OJAZ00028 y sigue dando el mismo error
26/04: correctivo aplicaco";Cerrada;29-abr;RL-Error de Código;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Error de Código
INC000004003095;27-abr;[2026R4] - PRJ-10966 - CRMB2B - Cita creada en REMEDY no aparece en el caso;3-Medio;SOP_CRMB2B;"CRMBOP-2533 [ Done / Done ] 
";;PRJ-10966 Escalado Tipificaciones SAC Pyme;Pdt GGCC -> CRQ000000181370;Cerrada;29-abr;RL-Error de Código;TyD_PRUEBAS_PROD;SI;MESA;JAZZTEL;RL-Error de Código
INC000004005078;28-abr;[2026R4] - PRJ-11212 FASE 2 PRJ-10764 Error al recuperar CdV en TURING;4-Baja;FRONTOFFICE;#N/D;;PRJ-11212 Fase 2 PRJ-10764 MPV1: Eliminación Web de Comprobantes;"29/04: se aportan nuevas evidencias
28/04: Resolución: Se parametriza correctamente la url del servicio";Cerrada;28-abr;Resuelto CAU;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;Resuelto CAU
INC000004006629;29-abr;[2026R4] - [PRJ-10365 MODIFICACIÓN EMAIL] - No permite guardar email notiene@orange.com;3-Medio;DES_SOE_PANGEA;"PANOSP-2175 [ Cancelled / Won't Do ] 
FRONTRE-45818 [ Cancelled / Won't Do ] 
";;PRJ-10365 Solución a incidencia para modificar direcciones de correo electrónico ;correo en black list;Cerrada;29-abr;Futura mejora;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;Futura mejora
INC000004004216;27-abr;[2026R4] PRJ-10636 Problemas captura QR;3-Medio;Econtrato_N2;#N/D;;PRJ-10636 Mi DNI - Proyecto de Adecuación del Tratamiento del DNI;Resolución: Por favor abran diferentes incidencias según el error reportado.;Cerrada;26-abr;;SOP_VERIDAS;SI;MESA;ORANGE;
INC000004002876;26-abr;[2026R4] - TEIDE - S7 BONO MENSUAL NOMBRE INCORRECTO;3-Medio;SOP_TMC_OCS;#N/D;;PRJ-10982 Fibra Oro en B2C_Orange;esde OCS vemos que las trazas indicadas son correctas y se devuelve la información de acuerdo a lo acordado en el proyecto, DPS (ID JIRA: DOCDLV-23241;Cerrada;04-may;Resuelto Administrativo;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Resuelto Administrativo
INC000004004301;27-abr;[2026R4] CRM // BOGOTA // FUNCIONAL;4-Baja;CEP CAU AGI;#N/D;;PRJ-11085 CONTRATACIÓN MULTIDISPOSITIVO VAP SOBRE LINEA FIJA JAZZTEL;No permite avanzar solicitud de traslado en clientes que solo tiene contratados dispositivos en la opción de venta a plazos secundario;Cerrada;29-abr;Acción correctora temporal;MESA DE AYUDA COLOMBIA;SI;MESA;ORANGE;Acción correctora temporal
INC000004004235;27-abr;[2026R4] - PRJ-10636 Problemas captura QR - webcam;3-Medio;Econtrato_N2;#N/D;;PRJ-10636 Mi DNI - Proyecto de Adecuación del Tratamiento del DNI;pueden facilitarnos información sobre la resolución de la cámara utilizada;Cerrada;28-abr;Usuario. Pendiente Información;SOP_VERIDAS;SI;MESA;ORANGE;Usuario. Pendiente Información
INC000004004256;27-abr;[2026R4] - MiDNI - No se guardan imágenes de los rechazos;3-Medio;Econtrato_N3;#N/D;;PRJ-10636 Mi DNI - Proyecto de Adecuación del Tratamiento del DNI;Pendiente de PaP CRQ000000181444 planificado para el 28/04/2026 23h00;Cerrada;29-abr;Gestión de Cambios;SOP_VERIDAS;SI;MESA;ORANGE;Gestión de Cambios
INC000004004501;27-abr;[2026R4] - PRJ-10636 Problemas captura QR (retardo en envío respuesta a Pangea);3-Medio;Econtrato_N3;#N/D;;PRJ-10636 Mi DNI - Proyecto de Adecuación del Tratamiento del DNI;Pendiente de PaP CRQ000000181444 planificado para el 28/04/2026 23h00;Cerrada;29-abr;Gestión de Cambios;SOP_VERIDAS;SI;MESA;ORANGE;Gestión de Cambios
INC000004004610;27-abr;[2026R4] - PRJ-10733 No se recibe comunicación de alta del SVA Google One Premium (2 TB + IA);3-Medio;SOP_ONURIS;#N/D;;PRJ-10733 SVA Gemini AI;GAP en análisis;Cerrada;27-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;Cancelado No Aplica
INC000004004987;28-abr;[2026R4] - Gemini AI - No se recibe la comunicacion del Alta del producto Google IA PRO;3-Medio;SOP_TMC_EXCALIBUR;#N/D;;PRJ-10733 SVA Gemini AI;Resolución: Durante el envio del evento de alta hubo un error de conectividad, podeis repetir la prueba?;Cerrada;29-abr;;DES_SOE_FICHA;SI;MESA;ORANGE;
INC000004004913;27-abr;[2026R4] FdC no está enviando el parametro fibraOro a PROMETHEUS;2-Alta;DES_SOE_FICHA;"FDCOSP-2106 [ Cancelled / Won't Do ] 
FRONTRE-45811 [ Done / Done ] 
";;PRJ-10982 Fibra Oro en B2C_Orange;contribucion;Cerrada;29-abr;PR;Soporte CCA;SI;MESA;ORANGE;PR
INC000004003034;26-abr;[2026R4] - PANGEA No carga el modulo de Alarmas ni en Ficha ni en Pangea.;3-Medio;DES_SOE_PANGEA;"PANOSP-2157 [ Cancelled / Won't Do ] 
FRONTRE-45799 [ Done / Done ] 
";;PRJ-11026 Orange Alarmas con SD;;Cerrada;29-abr;PR;CdF_Gest_Riesgo-Calidad_Fact;SI;PAP;JAZZTEL;PR
INC000004002869;26-abr;[2026R4] - [REGRESION FdC] - Error en el mensaje al cargar datos Incidencias Técnicas;3-Medio;DES_SOE_FICHA;"FRONTRE-45806 [ To Do /  ] 
MICRO-73690 [ Cancelled / Won't Do ] 
MICRO-73688 [ Cancelled / Won't Do ] 
INTEPS-29812 [ Cancelled / Won't Do ] 
MICRO-73684 [ Cancelled / Won't Do ] 
INTEPS-29811 [ Cancelled / Won't Do ] 
FDCOSP-2098 [ Cancelled / Won't Do ] 
FDCOSP-2102 [ Cancelled / Won't Do ] 
FRONTRE-45797 [ Cancelled / Won't Do ] 
";;REGRESION;06/05: Se aportan nuevos casos de error;Cerrada;06-may;Acción adicional innecesaria;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Acción adicional innecesaria
